ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
6232,2,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>6,2>8>6
6233,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
6234,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
6235,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,9>1>4>1>4>1>4,4
6236,8,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,3,3,8>2>0>1,8>2>0>1
6237,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
6238,1,1,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,1>4>1>4>1,1
6239,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
6240,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
6241,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
6242,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
6243,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
6244,4,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,4>6,4>6
6245,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
6246,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
6247,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
6248,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
6249,7,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,0,0,7,7
6250,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
6251,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
6252,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
6253,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
6254,2,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>7,2>8>7
6255,7,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,7>8>6,7>8>6
6256,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
6257,0,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,0>5>7>3,0>5>7>3
6258,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
6259,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
6260,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
6261,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
6262,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
6263,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
6264,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
6265,2,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>7,2>8>7
6266,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
6267,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
6268,7,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,7>8>6,7>8>6
6269,8,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,3,3,8>2>0>1,8>2>0>1
6270,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
6271,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
6272,6,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,6>8>7>5,6>8>7>5
6273,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
6274,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
6275,6,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>3,6>8>3
6276,1,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,1>6,1>6
6277,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
6278,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
6279,7,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,7>1>4,7>1>4
6280,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
6281,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
